describe,evaluate,introduce,movie_name,serial_number,star
对天空的追逐，永不停止。 ,648426人评价,"导演: 宫崎骏 Hayao Miyazaki 主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986 / 日本 / 动画 奇幻 冒险",天空之城,42,9.1
旷古烁今。,936890人评价,"导演: 刘镇伟 Jeffrey Lau 主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装",大话西游之月光宝盒,43,9.0
对我们国家而言，这样的电影多一部是一部。,1612166人评价,"导演: 文牧野 Muye Wen 主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,2018 / 中国大陆 / 剧情 喜剧",我不是药神,44,9.0
史上最美的探戈。,656077人评价,"导演: 马丁·布莱斯 Martin Brest 主演: 阿尔·帕西诺 Al Pacino / 克里斯...,1992 / 美国 / 剧情",闻香识女人,45,9.1
爱情哪怕只有一天。,749483人评价,"导演: 威廉·惠勒 William Wyler 主演: 奥黛丽·赫本 Audrey Hepburn / 格...,1953 / 美国 / 喜剧 剧情 爱情",罗马假日,46,9.0
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,499926人评价,"导演: 朱塞佩·托纳多雷 Giuseppe Tornatore 主演: 菲利普·努瓦雷 Philipp...,1988 / 意大利 法国 / 剧情 爱情",天堂电影院,47,9.2
电影的现实意义大过电影本身。,469944人评价,"导演: 杨宇硕 Woo-seok Yang 主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013 / 韩国 / 剧情",辩护人,48,9.2
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,667481人评价,"导演: 大卫·芬奇 David Fincher 主演: 爱德华·诺顿 Edward Norton / 布拉...,1999 / 美国 德国 / 剧情 动作 悬疑 惊悚",搏击俱乐部,49,9.0
骗子大师和执著警探的你追我跑故事。 ,650997人评价,"导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 莱昂纳多·迪卡普里奥 L...,2002 / 美国 加拿大 / 传记 犯罪 剧情",猫鼠游戏,50,9.0
经典之作，历久弥新。,308593人评价,"导演: 万籁鸣 Laiming Wan / 唐澄 Cheng Tang 主演: 邱岳峰 Yuefeng Qiu /...,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆) / 中国大陆 / 动画 奇幻",大闹天宫,51,9.3
